행정동코드,총생활인구수,raw_score_floating_pop
2350.8437,74.6415,74.6415
2374.0002,52.7154,52.7154
2409.7837,41.7064,41.7064
2416.566,43.8698,43.8698
2421.9248,24.1654,24.1654
2440.9199,43.4112,43.4112
2448.7451,41.9494,41.9494
2453.0017,87.67,87.67
2454.1793,37.4485,37.4485
2457.7803,48.064,48.064
2463.6006,64.5061,64.5061
2467.1233,59.1975,59.1975
2468.0123,73.6329,73.6329
2473.6808,32.2925,32.2925
2476.114,29.3004,29.3004
2477.4655,35.6064,35.6064
2482.2715,56.1274,56.1274
2483.9908,24.3282,24.3282
2486.3543,37.9861,37.9861
2489.8863,29.8013,29.8013
2491.2758,38.2855,38.2855
2491.4604,62.2121,62.2121
2501.7416,36.8636,36.8636
2502.7459,27.2254,27.2254
2504.3195,22.1965,22.1965
2504.7816,56.4592,56.4592
2507.0193,60.9457,60.9457
2510.2158,60.3806,60.3806
2513.8006,54.622,54.622
2514.1158,49.1149,49.1149
2517.7744,42.9273,42.9273
2519.1583,78.0633,78.0633
2519.8706,51.6984,51.6984
2520.0476,37.108,37.108
2538.731,100.9894,100.9894
2540.2956,61.016,61.016
2541.0515,54.1686,54.1686
2543.7367,43.8527,43.8527
2545.0582,36.2902,36.2902
2545.6739,48.8321,48.8321
2546.9869,49.0759,49.0759
2548.0356,66.1696,66.1696
2549.6322,58.9137,58.9137
2553.273,62.788,62.788
2554.1002,69.4847,69.4847
2557.5702,44.5094,44.5094
2560.2911,78.994,78.994
2563.3284,45.2378,45.2378
2564.7862,50.0744,50.0744
2564.879,38.5072,38.5072
2567.5305,53.4831,53.4831
2569.713,65.9134,65.9134
2570.2185,46.2521,46.2521
2570.8998,33.7789,33.7789
2571.1407,36.447,36.447
2571.895,39.0416,39.0416
2572.0768,80.1239,80.1239
2572.4369,53.1107,53.1107
2573.2279,45.8439,45.8439
2575.9275,59.9731,59.9731
2576.0557,41.1274,41.1274
2578.8707,35.0152,35.0152
2580.1242,23.3689,23.3689
2581.5727,43.7676,43.7676
2581.8993,49.5457,49.5457
2582.2994,63.3641,63.3641
2584.2295,40.2916,40.2916
2586.1474,41.7114,41.7114
2587.9085,38.2437,38.2437
2588.0005,30.5851,30.5851
2588.5404,31.1197,31.1197
2590.4418,72.2208,72.2208
2591.4526,79.7502,79.7502
2596.431,49.0873,49.0873
2598.9119,82.0044,82.0044
