출발역,peak_max_congestion,raw_score_sub_cong
가락시장,122.4,122.4
가산디지털단지,143.9,143.9
강남,129.0,129.0
강남구청,111.9,111.9
강동,85.2,85.2
강동(마천),70.5,70.5
강동(하남검단산),70.7,70.7
강동구청,145.3,145.3
강변,66.9,66.9
강일,70.1,70.1
개롱,51.0,51.0
개화산,12.8,12.8
거여,41.3,41.3
건대입구,139.4,139.4
경복궁,125.1,125.1
경찰병원,31.0,31.0
고덕,96.2,96.2
고려대,95.0,95.0
고속터미널,108.6,108.6
공덕,99.7,99.7
공릉,84.7,84.7
광나루,100.9,100.9
광명사거리,129.0,129.0
광화문,83.6,83.6
광흥창,74.1,74.1
교대,132.8,132.8
구로디지털단지,92.7,92.7
구산,45.9,45.9
구의,63.7,63.7
구파발,81.7,81.7
군자,144.2,144.2
굽은다리,109.6,109.6
금호,94.5,94.5
길동,121.4,121.4
길음,128.1,128.1
김포공항,29.8,29.8
까치산,85.7,85.7
낙성대,133.6,133.6
남구로,99.6,99.6
남부터미널,89.7,89.7
남성,132.3,132.3
남위례,89.1,89.1
남태령,130.5,130.5
남한산성입구,64.1,64.1
내방,136.0,136.0
노원,57.6,57.6
녹번,120.2,120.2
녹사평,57.5,57.5
논현,92.8,92.8
단대오거리,43.1,43.1
답십리,111.8,111.8
당산,115.6,115.6
대림,91.2,91.2
대청,47.6,47.6
대치,52.0,52.0
대흥,71.3,71.3
도곡,60.6,60.6
도림천,111.1,111.1
도봉산,25.8,25.8
독립문,133.6,133.6
독바위,23.6,23.6
돌곶이,75.3,75.3
동대문,138.8,138.8
동대문역사문화공원,132.8,132.8
동대입구,84.4,84.4
동묘앞,118.9,118.9
동작,76.3,76.3
둔촌동,74.0,74.0
디지털미디어시티,89.9,89.9
뚝섬,77.6,77.6
마곡,42.5,42.5
마들,46.0,46.0
마장,112.1,112.1
마천,19.2,19.2
마포,99.4,99.4
마포구청,103.2,103.2
망원,105.9,105.9
매봉,57.1,57.1
먹골,86.5,86.5
면목,125.2,125.2
명동,82.2,82.2
명일,99.9,99.9
모란,15.6,15.6
목동,112.9,112.9
몽촌토성,146.5,146.5
무악재,133.1,133.1
문래,122.4,122.4
문정,126.3,126.3
미사,64.3,64.3
미아,109.4,109.4
미아사거리,116.8,116.8
반포,99.7,99.7
발산,47.6,47.6
방배,143.9,143.9
방이,52.6,52.6
방화,6.9,6.9
버티고개,59.1,59.1
보라매,85.0,85.0
보문,103.8,103.8
복정,116.3,116.3
봉천,108.4,108.4
봉화산,18.7,18.7
불광,106.7,106.7
불암산,24.4,24.4
사가정,139.9,139.9
사당,147.7,147.7
산성,77.6,77.6
삼각지,72.8,72.8
삼성,105.9,105.9
상계,41.1,41.1
상도,113.6,113.6
상봉,116.3,116.3
상수,68.0,68.0
상왕십리,91.3,91.3
상월곡,80.2,80.2
상일동,81.2,81.2
새절,80.9,80.9
서대문,86.4,86.4
서울대입구,123.7,123.7
서울역,126.9,126.9
서초,140.4,140.4
석계,64.9,64.9
석촌,123.6,123.6
선릉,92.9,92.9
성수,78.5,78.5
성수E,63.3,63.3
성신여대입구,136.4,136.4
송정,38.7,38.7
송파,129.1,129.1
수락산,33.8,33.8
수서,43.8,43.8
수유,107.6,107.6
수진,22.7,22.7
숙대입구,57.7,57.7
숭실대입구,122.6,122.6
시청,113.6,113.6
신금호,92.7,92.7
신길,129.8,129.8
신내,22.0,22.0
신답,65.8,65.8
신당,100.5,100.5
신대방,74.9,74.9
신대방삼거리,100.5,100.5
신도림,132.8,132.8
신림,99.6,99.6
신사,103.4,103.4
신설동,77.3,77.3
신용산,62.4,62.4
신정,100.0,100.0
신정네거리,88.7,88.7
신촌(지하),116.3,116.3
신풍,86.9,86.9
신흥,23.1,23.1
쌍문,90.9,90.9
아차산,105.7,105.7
아현,123.3,123.3
안국,117.9,117.9
안암,96.8,96.8
암사,97.2,97.2
암사역사공원,88.3,88.3
압구정,110.9,110.9
애오개,101.7,101.7
약수,90.0,90.0
양재,69.9,69.9
양천구청,111.3,111.3
양평,124.9,124.9
어린이대공원,143.3,143.3
여의나루,101.2,101.2
여의도,106.1,106.1
역삼,119.8,119.8
역촌,41.9,41.9
연신내,87.9,87.9
영등포구청,118.2,118.2
영등포시장,111.9,111.9
오금,46.0,46.0
오목교,121.8,121.8
옥수,101.2,101.2
온수,104.9,104.9
올림픽공원(한국체대),58.7,58.7
왕십리,97.0,97.0
용답,81.1,81.1
용두,55.2,55.2
용마산,141.6,141.6
우장산,62.3,62.3
월곡,90.5,90.5
월드컵경기장,91.4,91.4
을지로3가,88.9,88.9
을지로4가,89.7,89.7
을지로입구,101.3,101.3
응암,65.7,65.7
응암S,48.1,48.1
이대,119.0,119.0
이수,139.3,139.3
이촌,67.7,67.7
이태원,57.4,57.4
일원,42.9,42.9
자양(뚝섬한강공원),121.1,121.1
잠실,131.7,131.7
잠실나루,68.2,68.2
잠실새내,102.4,102.4
잠원,81.6,81.6
장승배기,107.5,107.5
장암,15.7,15.7
장지,128.5,128.5
장한평,102.0,102.0
제기동,75.6,75.6
종각,83.5,83.5
종로3가,107.9,107.9
종로5가,88.1,88.1
종합운동장,107.9,107.9
중계,65.6,65.6
중곡,143.9,143.9
중화,92.2,92.2
증산,90.8,90.8
지축,105.8,105.8
창동,75.8,75.8
창신,115.8,115.8
천왕,114.4,114.4
천호,140.0,140.0
철산,147.6,147.6
청구,89.9,89.9
청담,125.7,125.7
청량리,71.3,71.3
총신대입구,76.8,76.8
충무로,98.8,98.8
충정로,120.4,120.4
태릉입구,89.1,89.1
하계,77.8,77.8
하남검단산,11.4,11.4
하남시청,25.2,25.2
하남풍산,30.4,30.4
학동,96.2,96.2
학여울,49.1,49.1
한강진,61.9,61.9
한성대입구,136.2,136.2
한양대,80.3,80.3
합정,110.9,110.9
행당,89.4,89.4
혜화,132.4,132.4
홍대입구,120.2,120.2
홍제,135.0,135.0
화곡,73.7,73.7
화랑대,36.4,36.4
회현,73.9,73.9
효창공원앞,74.8,74.8
