측정지점,시간,raw_score_noise_hourly
기업은행,00시,68.19
기업은행,1시시,67.49
기업은행,2시시,67.37
기업은행,3시시,67.35
기업은행,4시시,67.69
기업은행,5시시,68.79
기업은행,6시시,70.18
기업은행,7시시,74.19
기업은행,8시시,77.35
기업은행,9시시,74.43
기업은행,10시,72.97
기업은행,11시,72.8
기업은행,12시,73.18
기업은행,13시,73.59
기업은행,14시,73.58
기업은행,15시,74.57
기업은행,16시,75.38
기업은행,17시,76.1
기업은행,18시,77.17
기업은행,19시,75.1
기업은행,20시,73.08
기업은행,21시,72.56
기업은행,22시,72.14
기업은행,23시,69.91
반포본동,00시,67.11
반포본동,1시시,66.41
반포본동,2시시,66.29
반포본동,3시시,66.27
반포본동,4시시,66.61
반포본동,5시시,67.71
반포본동,6시시,69.1
반포본동,7시시,73.11
반포본동,8시시,76.27
반포본동,9시시,73.35
반포본동,10시,71.89
반포본동,11시,71.72
반포본동,12시,72.1
반포본동,13시,72.51
반포본동,14시,72.5
반포본동,15시,73.49
반포본동,16시,74.3
반포본동,17시,75.02
반포본동,18시,76.09
반포본동,19시,74.02
반포본동,20시,72.0
반포본동,21시,71.48
반포본동,22시,71.06
반포본동,23시,68.83
북아현동,00시,69.91
북아현동,1시시,69.21
북아현동,2시시,69.09
북아현동,3시시,69.07
북아현동,4시시,69.41
북아현동,5시시,70.51
북아현동,6시시,71.9
북아현동,7시시,75.91
북아현동,8시시,79.07
북아현동,9시시,76.15
북아현동,10시,74.69
북아현동,11시,74.52
북아현동,12시,74.9
북아현동,13시,75.31
북아현동,14시,75.3
북아현동,15시,76.29
북아현동,16시,77.1
북아현동,17시,77.82
북아현동,18시,78.89
북아현동,19시,76.82
북아현동,20시,74.8
북아현동,21시,74.28
북아현동,22시,73.86
북아현동,23시,71.63
불광동,00시,61.53
불광동,1시시,60.83
불광동,2시시,60.71
불광동,3시시,60.69
불광동,4시시,61.03
불광동,5시시,62.13
불광동,6시시,63.52
불광동,7시시,67.53
불광동,8시시,70.69
불광동,9시시,67.77
불광동,10시,66.31
불광동,11시,66.14
불광동,12시,66.52
불광동,13시,66.93
불광동,14시,66.92
불광동,15시,67.91
불광동,16시,68.72
불광동,17시,69.44
불광동,18시,70.51
불광동,19시,68.44
불광동,20시,66.42
불광동,21시,65.9
불광동,22시,65.48
불광동,23시,63.25
삼신빌딩,00시,67.85
삼신빌딩,1시시,67.15
삼신빌딩,2시시,67.03
삼신빌딩,3시시,67.01
삼신빌딩,4시시,67.35
삼신빌딩,5시시,68.45
삼신빌딩,6시시,69.84
삼신빌딩,7시시,73.85
삼신빌딩,8시시,77.01
삼신빌딩,9시시,74.09
삼신빌딩,10시,72.63
삼신빌딩,11시,72.46
삼신빌딩,12시,72.84
삼신빌딩,13시,73.25
삼신빌딩,14시,73.24
삼신빌딩,15시,74.23
삼신빌딩,16시,75.04
삼신빌딩,17시,75.76
삼신빌딩,18시,76.83
삼신빌딩,19시,74.76
삼신빌딩,20시,72.74
삼신빌딩,21시,72.22
삼신빌딩,22시,71.8
삼신빌딩,23시,69.57
성북초교,00시,61.33
성북초교,1시시,60.63
성북초교,2시시,60.51
성북초교,3시시,60.49
성북초교,4시시,60.83
성북초교,5시시,61.93
성북초교,6시시,63.32
성북초교,7시시,67.33
성북초교,8시시,70.49
성북초교,9시시,67.57
성북초교,10시,66.11
성북초교,11시,65.94
성북초교,12시,66.32
성북초교,13시,66.73
성북초교,14시,66.72
성북초교,15시,67.71
성북초교,16시,68.52
성북초교,17시,69.24
성북초교,18시,70.31
성북초교,19시,68.24
성북초교,20시,66.22
성북초교,21시,65.7
성북초교,22시,65.28
성북초교,23시,63.05
숙명여고 앞,00시,68.66
숙명여고 앞,1시시,67.96
숙명여고 앞,2시시,67.84
숙명여고 앞,3시시,67.82
숙명여고 앞,4시시,68.16
숙명여고 앞,5시시,69.26
숙명여고 앞,6시시,70.65
숙명여고 앞,7시시,74.66
숙명여고 앞,8시시,77.82
