사업장명,도로명주소,raw_score_noise_pub,경도,위도
명동노래주점뱅크,서울특별시 중구 마른내로 123 (오장동),1.0,126.99888294415938,37.56471606615831
타이밍,서울특별시 중구 을지로44길 13 (광희동1가),1.0,127.00382089592863,37.56544598016548
골드,서울특별시 중구 을지로44길 23 (광희동1가),1.0,127.00369045155172,37.564987381091015
루아,"서울특별시 종로구 수표로 133 (낙원동,지하 1층)",1.0,126.985287891675,37.57240303172652
마돈나,서울특별시 종로구 수표로 93 (관수동),1.0,126.98647870425661,37.56952424710752
벌떼,"서울특별시 중구 퇴계로31길 9 (필동1가,지하1층)",1.0,126.9892829460767,37.56163604590595
오션,"서울특별시 중구 무교로 12 (무교동,지하1층)",1.0,126.97650062920053,37.56704911810168
뿜뿜 노래밤,"서울특별시 중구 창경궁로1길 38 (충무로4가,(지하1층))",1.0,126.9934397558778,37.56252020158745
리밋,"서울특별시 중구 마른내로2길 6, 2층 (초동)",1.0,126.98948949553045,37.564148584061094
굿모닝,"서울특별시 중구 수표로6길 25-1 (충무로3가,지하1층)",1.0,126.98902722841717,37.5631056228156
비타민노래카페,"서울특별시 중구 수표로2길 5 (충무로3가, 2층)",1.0,126.98792779817586,37.562308571770345
수노래,"서울특별시 중구 충무로 20-1, 지하1층 (충무로3가)",1.0,126.99035450009778,37.56300895485043
탈렌트,"서울특별시 용산구 한강대로 280-1 (남영동,(지하1층))",1.0,126.97011829547574,37.54336266236547
여자친구 노래팡,"서울특별시 중구 마른내로 54-1 (인현동1가,지하1층)",1.0,126.99098515898218,37.56422230736717
칼라노래짱(타운),"서울특별시 중구 청파로 427-3 (중림동,지하1층)",1.0,126.96612589674702,37.557861544139534
에이치(H),"서울특별시 중구 창경궁로 70, 지하1층 (주교동)",1.0,126.99537333487797,37.568536720978294
쉼터,"서울특별시 중구 마른내로4길 36 (충무로3가,2층)",1.0,126.99043911717405,37.56277384417308
주유소 노래땅,"서울특별시 중구 충무로 20 (충무로3가,지하1층)",1.0,126.99039593647488,37.562926382295856
웰빙(Well - being),서울특별시 중구 을지로 109 (을지로3가),1.0,126.98720476846053,37.56649694342424
도원,"서울특별시 중구 을지로44길 27 (광희동1가,지하1층)",1.0,127.00367365544464,37.5648868005152
신성,서울특별시 종로구 종로 337 (창신동),1.0,127.01211832949619,37.57307372445812
헤라,"서울특별시 종로구 지봉로 28, 지하1층 (숭인동)",1.0,127.01300885923807,37.572481989353726
차차차 노래빠,서울특별시 종로구 수표로 111 (낙원동),1.0,126.98616479632473,37.571221509106465
센추럴비즈니스,서울특별시 종로구 청계천로 137 (장사동),1.0,126.99000626976859,37.56879918308795
레이스투,서울특별시 종로구 종로 346 (숭인동),1.0,127.01341007995397,37.572903182848115
