자치구명,행정동명,야간의료시설수,raw_score_night_clinic,약국수,raw_score_pharmacy
강남구,영동,17.0,17.0,9.0,9.0
강남구,학동,51.0,51.0,35.0,35.0
강동구,강동,1.0,1.0,2.0,2.0
강서구,마곡동,2.0,2.0,1.0,1.0
강서구,방화동,2.0,2.0,8.0,8.0
관악구,신림동,0.0,0.0,1.0,1.0
광진구,능동,44.0,44.0,28.0,28.0
구로구,구로동,12.0,12.0,30.0,30.0
구로구,목동,1.0,1.0,0.0,0.0
구로구,항동,1.0,1.0,1.0,1.0
동대문구,약령동,0.0,0.0,3.0,3.0
동대문구,정릉천동,0.0,0.0,2.0,2.0
서대문구,연희3동,1.0,1.0,0.0,0.0
성동구,사근동,0.0,0.0,4.0,4.0
성동구,자동,0.0,0.0,1.0,1.0
송파구,강동,0.0,0.0,15.0,15.0
양천구,목동,38.0,38.0,54.0,54.0
양천구,목동동,34.0,34.0,22.0,22.0
영등포구,선유동,2.0,2.0,1.0,1.0
영등포구,여의동,1.0,1.0,0.0,0.0
종로구,숭인동,0.0,0.0,1.0,1.0
종로구,인사동,2.0,2.0,1.0,1.0
중구,명동,42.0,42.0,31.0,31.0
중구,필동,0.0,0.0,1.0,1.0
