자치구명,간호사수,전문의,raw_score_medical_staff
강남구,8550,8.0,8558.0
강동구,4015,167.0,4182.0
강북구,685,13.0,698.0
강서구,3622,0.0,3622.0
관악구,1037,0.0,1037.0
광진구,1873,21.0,1894.0
구로구,2723,0.0,2723.0
금천구,673,0.0,673.0
노원구,2416,116.0,2532.0
도봉구,1052,0.0,1052.0
동대문구,2762,35.0,2797.0
동작구,2488,237.0,2725.0
마포구,511,5.0,516.0
서대문구,4044,0.0,4044.0
서초구,4391,13.0,4404.0
성동구,1610,2.0,1612.0
성북구,2193,0.0,2193.0
송파구,6464,69.0,6533.0
양천구,2269,39.0,2308.0
영등포구,3431,1.0,3432.0
용산구,1239,0.0,1239.0
은평구,2333,29.0,2362.0
종로구,5477,919.0,6396.0
중구,1119,126.0,1245.0
중랑구,1847,159.0,2006.0
