기관명,자치구명,행정동명,병원경도,병원위도,raw_score_clinic_point
41타워마디튼튼의원,양천구,목동동,126.875771989415,37.5281783139269,1.0
굿이너프정신건강의학과의원,강남구,학동,127.039650741179,37.5169881563922,1.0
권마취통증의학과의원,구로구,구로동,126.890478535204,37.4901321937348,1.0
가다정한의원,광진구,능동,127.079543523196,37.5565941097975,1.0
강남365가정의학과의원,강남구,학동,127.04130142966,37.5171892352971,1.0
로덴치과의원,강남구,학동,127.03993526961388,37.5170517763266,1.0
목동동안의원,양천구,목동,126.863931880867,37.5264593103148,1.0
가디언즈치과의원,중구,명동,126.986563787577,37.5620005331406,1.0
목동모아치과의원,양천구,목동,126.870891130508,37.5468826100013,1.0
미미미한의원,강남구,학동,127.050467942591,37.5191577902364,1.0
뷰티클래식피부과의원,중구,명동,126.98575215206642,37.5637745000986,1.0
삼성탑이비인후과의원,양천구,목동동,126.871486510512,37.5168554302245,1.0
건국대학교병원,광진구,능동,127.0721229093036,37.54084479467721,1.0
건대365행복한의원,광진구,능동,127.07050713429,37.5403340350698,1.0
건대닥터에버스의원,광진구,능동,127.069633616599,37.5391217174545,1.0
건대역서울정형외과의원,광진구,능동,127.070921773952,37.5383625791299,1.0
건대와이(Y)산부인과의원,광진구,능동,127.07085938264,37.5410629132034,1.0
건대청솔한의원,광진구,능동,127.0660822332,37.5378549699,1.0
경희아이큐한의원,양천구,목동,126.864447323512,37.5273834294204,1.0
경희아침맑음한의원,광진구,능동,127.06778408234204,37.53244644929839,1.0
스타시티정형외과의원,광진구,능동,127.07141185507,37.540657941434,1.0
연세J라인치과의원,광진구,능동,127.071313588,37.5420289618,1.0
경희천한의원,양천구,목동,126.873533422962,37.5463475734256,1.0
고려대학교의과대학부속구로병원,구로구,구로동,126.8847449363546,37.49211114525054,1.0
고려탑마취통증의학과의원,양천구,목동동,126.882213637856,37.5367262201569,1.0
고운한의원,광진구,능동,127.08445683899,37.5650580830652,1.0
곽승민의원,구로구,구로동,126.88370977403,37.4906411011165,1.0
제니여성의원,광진구,능동,127.071217261809,37.5417563775149,1.0
구로88한의원,구로구,구로동,126.886558766573,37.4846965004551,1.0
구로나르샤정형외과의원,구로구,구로동,126.885855021118,37.4858241548644,1.0
구로에이스정형외과의원,구로구,구로동,126.884261981664,37.4887698909785,1.0
구로좋은치과의원,구로구,구로동,126.884261981664,37.4887698909785,1.0
광덕안정한의원,광진구,능동,127.07050713429,37.5403340350698,1.0
군자성모정형외과의원,광진구,능동,127.07844286512,37.5561330850616,1.0
군자탑정형외과의원,광진구,능동,127.079479358802,37.5577717562884,1.0
그대의봄여성의원,광진구,능동,127.078979184085,37.5555832993412,1.0
그랑메디의원,중구,명동,126.983858910559,37.5647312946952,1.0
김건웅한의원,강남구,학동,127.04663152406846,37.51842423870796,1.0
규림한의원,양천구,목동,126.86393233125575,37.52646048214225,1.0
210정형외과의원,양천구,목동동,126.870471203827,37.5189418545223,1.0
꼼꼼한치과의원,강남구,영동,127.065024041528,37.5080859854308,1.0
나슬한의원,광진구,능동,127.0695051309,37.5441744186,1.0
다민한의원,양천구,목동동,126.8759213585,37.5226246064,1.0
닥터디자이너의원명동점,중구,명동,126.983726048206,37.5656815570877,1.0
닥터에버스의원목동,양천구,목동,126.86380676331,37.5267062206829,1.0
닥터윤뷰티플의원,강남구,학동,127.027198203947,37.5100786367461,1.0
닥터주비뇨의학과의원,강남구,학동,127.040134161132,37.5173459617876,1.0
닥터허치과의원,강남구,영동,127.056368965172,37.520169200264,1.0
단아의원,중구,명동,126.983858910559,37.5647312946952,1.0
당신만의가치벨유의원,중구,명동,126.984172346048,37.5635687815987,1.0
더마주피부과의원,강남구,영동,127.059486615422,37.5145473024381,1.0
더멘토성형외과의원,강남구,학동,127.039928031242,37.5170718563031,1.0
더바르게치과의원,양천구,목동,126.863821477728,37.5279467362177,1.0
24시열린의원,광진구,능동,127.070921773952,37.5383625791299,1.0
24시열린의원,양천구,목동동,126.871566699077,37.5274862615567,1.0
더제이의원,강남구,학동,127.039928031242,37.5170718563031,1.0
더프리티영의원,중구,명동,126.983641320819,37.563895230299,1.0
루덴치과의원,중구,명동,126.98591834303,37.5641952853184,1.0
루비의원,중구,명동,126.98591834303,37.5641952853184,1.0
루시아치과의원,강남구,학동,127.040841265738,37.5167560126387,1.0
루트여성의원,광진구,능동,127.07715348851,37.5535168972189,1.0
류한욱정신과의원,강남구,학동,127.040841265738,37.5167560126387,1.0
리더스피부과의원,양천구,목동동,126.874619136454,37.5273217750941,1.0
리버스의원,중구,명동,126.983764788709,37.5634574532023,1.0
리봄한방병원,강남구,학동,127.040070113365,37.5162428849479,1.0
리엔장의원,중구,명동,126.98288772495,37.5634116488196,1.0
리엘르의원,중구,명동,126.98288772495,37.5634116488196,1.0
리움한방병원,강동구,강동,127.132974735453,37.5223962523793,1.0
리엔장의원,중구,명동,126.98288772495,37.5634116488196,1.0
맑고고운의원,양천구,목동,126.882112068994,37.5376381109502,1.0
맑은숲한의원,양천구,목동동,126.883951652082,37.5370222074755,1.0
맑은하늘정신건강의학과의원,양천구,목동,126.880503914142,37.5370742706805,1.0
메디코스의원,중구,명동,126.98330184788,37.5645265108777,1.0
메이비의원,양천구,목동동,126.871566699077,37.5274862615567,1.0
메이퓨어의원,양천구,목동동,126.875771989415,37.5281783139269,1.0
명동예쁨주의쁨의원,중구,명동,126.986952606355,37.5618041594791,1.0
명동리베리의원,중구,명동,126.98573802444,37.5612913518836,1.0
명동리아한의원,중구,명동,126.98650004361043,37.56201660908756,1.0
명동시원한의원,중구,명동,126.986903352805,37.5619124538241,1.0
명동연세이비인후과의원,중구,명동,126.983932276292,37.5651637828705,1.0
명동자연과한의원,중구,명동,126.985394525951,37.5641417024991,1.0
명동플랜에스의원,중구,명동,126.984558317468,37.5613346315283,1.0
명한의원,강남구,영동,127.056460869043,37.5221876728793,1.0
목동대통한의원,양천구,목동,126.869293651232,37.534953063951,1.0
목동오케이정형외과의원,양천구,목동,126.863931880867,37.5264593103148,1.0
목동웰치과교정과치과의원,양천구,목동,126.863725751825,37.5283289205932,1.0
목동탑치과의원,양천구,목동동,126.862808387683,37.5157733856226,1.0
목동튼튼마취통증의학과의원,양천구,목동,126.86380676331,37.5267062206829,1.0
목동플랜트치과의원,양천구,목동동,126.862808387683,37.5157733856226,1.0
명동예쁨주의상상의원,중구,명동,126.9856800876,37.561817527,1.0
미드나잇의원,강남구,학동,127.026542687028,37.5098683111947,1.0
미래솔한의원,광진구,능동,127.07085938264,37.5410629132034,1.0
미소가인피부과의원,강남구,영동,127.060483947525,37.5147215906749,1.0
미소치과의원,광진구,능동,127.0847631669,37.5662934892073,1.0
미소한의원,양천구,목동,126.865523065397,37.5482491091798,1.0
바디웰한의원,강남구,영동,127.063100618641,37.5071291703398,1.0
바른몸한의원,구로구,구로동,126.889563090944,37.4901264761131,1.0
바른지성한방병원,양천구,목동,126.864179564702,37.5253121699935,1.0
방화경희한의원,강서구,방화동,126.81298609963966,37.56956868536646,1.0
베르미의원,강남구,영동,127.056397556014,37.52238565340069,1.0
베르미한의원,강남구,영동,127.056397556014,37.5223856534007,1.0
본피부과의원,양천구,목동동,126.875771989415,37.5281783139269,1.0
봄날의미소치과의원,광진구,능동,127.070921773952,37.5383625791299,1.0
