사업장명,자치구명,행정동명,raw_score_pharmacy_point,경도,위도
수도약국,종로구,인사동,1.0,126.98225970733998,37.57404488945957
열린온누리약국,종로구,숭인동,1.0,127.0182612341575,37.576030451969416
휴베이스하이약국,중구,명동,1.0,126.98083835195595,37.565126916214176
웰니스약국,중구,명동,1.0,126.98313515994047,37.56158779970009
아이약국,중구,명동,1.0,126.98327631087321,37.56165326354572
명동 뷰티유약국,중구,명동,1.0,126.98054814716795,37.56344663539904
1898광장약국,중구,명동,1.0,126.9841010238641,37.563059153059235
명동 뷰티랩 약국,중구,명동,1.0,126.98287398509807,37.56220649828815
명동 더서울약국,중구,명동,1.0,126.98093417445658,37.56382032445787
에이트명동1번가약국,중구,명동,1.0,126.98099514947883,37.562805190215926
명동메가약국,중구,명동,1.0,126.98085098808824,37.56317794564134
브라이튼약국,중구,명동,1.0,126.9822383887663,37.563292138612
명동 퍼스트 약국,중구,명동,1.0,126.98000051200617,37.56341328305386
충무로 에이트약국,중구,명동,1.0,126.9805154954997,37.561422371852785
판다약국,중구,명동,1.0,126.98107990291312,37.564353573709816
노바약국,중구,명동,1.0,126.98048881470268,37.561131957952384
명동타운 레디영약국,중구,명동,1.0,126.9839101220177,37.56190634709388
명동하나약국,중구,명동,1.0,126.98179641566986,37.5623331122608
뉴스케치 약국,중구,명동,1.0,126.98261097356105,37.561774446727156
명동케이약국,중구,명동,1.0,126.98141460943512,37.561723350420685
라멜렉스약국,중구,명동,1.0,126.98170970178077,37.56281342395082
시안약국,중구,명동,1.0,126.98081267546955,37.56412738339785
명동중앙로 퓨어약국,중구,명동,1.0,126.9821661006305,37.56191145278311
명동레디영약국,중구,명동,1.0,126.9816688635211,37.561332233011534
명동베리뉴약국,중구,명동,1.0,126.98165501983833,37.562915059305915
피치유약국,중구,명동,1.0,126.98097810987493,37.564710357284206
올리브약국,중구,명동,1.0,126.98141460943512,37.561723350420685
오아시스약국,중구,명동,1.0,126.98097810987493,37.564710357284206
새원약국,중구,명동,1.0,126.98203673911902,37.56414261891848
굿약국,중구,명동,1.0,126.98205902336015,37.56394622349516
명동하이약국,중구,명동,1.0,126.98159200758445,37.56438855409766
셀메드필약국,중구,필동,1.0,126.99302073512956,37.560370287539335
유네스코약국,중구,명동,1.0,126.98087214159591,37.563454070852856
푸른약국,중구,명동,1.0,126.982185403983,37.561644154064695
대풍약국,성동구,사근동,1.0,127.03911155265324,37.560122132038224
대학약국,성동구,사근동,1.0,127.03865929141459,37.55994511711901
종로약국,성동구,사근동,1.0,127.0384426998573,37.55997089797602
조은약국,성동구,자동,1.0,127.0642415534039,37.5604695139975
영화당약국,성동구,사근동,1.0,127.04393783310478,37.560999135062275
광해약국,광진구,능동,1.0,127.0764298914888,37.55622465688151
건대온누리약국,광진구,능동,1.0,127.06852437713613,37.54067019244028
세종약국,광진구,능동,1.0,127.0712411695511,37.55073491182856
건대바른약국,광진구,능동,1.0,127.06769299053876,37.5405073324175
정담은한약국,광진구,능동,1.0,127.07764718323266,37.55962804624059
우리약국,광진구,능동,1.0,127.06517021065586,37.53298920075025
하하약국,광진구,능동,1.0,127.07558840175234,37.55620736838105
초록약국,광진구,능동,1.0,127.068018596768,37.541072583153166
건강샘약국,광진구,능동,1.0,127.06679366254768,37.539123912798274
건대365알찬약국,광진구,능동,1.0,127.06815830626661,37.54265717818167
태리약국,광진구,능동,1.0,127.0765384391075,37.5577885395264
중곡열린약국,광진구,능동,1.0,127.07892573058028,37.566603693291036
건대지하철약국,광진구,능동,1.0,127.06769299053876,37.5405073324175
더클래식약국,광진구,능동,1.0,127.06824670604945,37.538788622405434
햇빛약국,광진구,능동,1.0,127.06852437713613,37.54067019244028
소망온누리약국,광진구,능동,1.0,127.07726233603921,37.55793061337396
나라약국,광진구,능동,1.0,127.06852437713613,37.54067019244028
늘좋은약국,광진구,능동,1.0,127.07608697341156,37.55559904623209
건대365약국,광진구,능동,1.0,127.06837874822689,37.542034608537165
정문대학약국,광진구,능동,1.0,127.06852437713613,37.54067019244028
이층약국,광진구,능동,1.0,127.06517021065586,37.53298920075025
새동산약국,광진구,능동,1.0,127.08003166015621,37.56292402687982
센터온누리약국,광진구,능동,1.0,127.08189246045538,37.56628556693342
천사약국,광진구,능동,1.0,127.08092252470047,37.56559523333564
기분좋은한약국,광진구,능동,1.0,127.0725269866619,37.535537360743255
스타약국,광진구,능동,1.0,127.06763544726164,37.54037797233254
프라자사랑약국,광진구,능동,1.0,127.07667197364947,37.5578756882705
당근온누리약국,광진구,능동,1.0,127.074250171903,37.553522566406585
자연다림노아한약국,동대문구,정릉천동,1.0,127.03338560752573,37.582535640727336
영신당약국,동대문구,약령동,1.0,127.03509119516633,37.58049210221705
보창백옥약국,동대문구,약령동,1.0,127.03521909917121,37.58215057366266
경희금현한약국,동대문구,정릉천동,1.0,127.03283142270644,37.57718451260929
경희삼일한약국,동대문구,약령동,1.0,127.03477936057331,37.57908753990204
조아약국,양천구,목동동,1.0,126.85994555935915,37.51578344377566
보룡약국,양천구,목동,1.0,126.8619107744002,37.548681427757344
종로프라자약국,양천구,목동,1.0,126.86037104205448,37.52846069769509
햇살온누리약국,양천구,목동,1.0,126.86726785463179,37.53604951780585
구룡약국,양천구,목동,1.0,126.85951455751923,37.51854199770447
오렌지라임약국,양천구,목동,1.0,126.86088838712185,37.528325846573026
우리들약국,양천구,목동,1.0,126.86779616319035,37.543881123956425
목동한미약국,양천구,목동,1.0,126.86165896535778,37.508257298632635
미라클약국,양천구,목동동,1.0,126.87586965637318,37.53560513030677
새목동약국,양천구,목동,1.0,126.8787961520472,37.53748050091443
해든아침약국,양천구,목동동,1.0,126.8729229664223,37.52817675191504
서강약국,양천구,목동,1.0,126.86895504218859,37.54662086509461
월드약국,양천구,목동,1.0,126.87515168762695,37.535986196178
신국경약국,양천구,목동,1.0,126.86838324336675,37.545276137743336
보현약국,양천구,목동,1.0,126.86475181365041,37.53672274259216
홍일태평양약국,양천구,목동,1.0,126.86068394806422,37.529035780729856
예주약국,양천구,목동,1.0,126.87567485920106,37.536387282525546
목동즐거운약국,양천구,목동,1.0,126.86155684279156,37.52738356926982
테마프라자약국,양천구,목동,1.0,126.85830501233072,37.51580498400856
레스큐약국,양천구,목동,1.0,126.87764799852738,37.53708656790214
신목약국,양천구,목동,1.0,126.8685686497845,37.53702073140286
목동세명약국,양천구,목동,1.0,126.86373587843484,37.548449496680796
메디팜서울약국,양천구,목동동,1.0,126.85872205509716,37.515036900834296
청송온누리약국,양천구,목동,1.0,126.8634486182408,37.539153182369716
가정약국,양천구,목동,1.0,126.8692023506614,37.546662951257574
목동정문약국,양천구,목동동,1.0,126.88198708508514,37.53740378522701
성심약국,양천구,목동,1.0,126.87450241203281,37.5462550212534
영민약국,양천구,목동동,1.0,126.88192616041738,37.534642436763214
우주약국,양천구,목동,1.0,126.86476658913051,37.521626945937065
엘림약국,양천구,목동,1.0,126.86231692168477,37.510999932041045
목동세계로약국,양천구,목동동,1.0,126.87370943559901,37.52283475501188
제일약국,양천구,목동,1.0,126.86283982885952,37.539423649044885
온누리유미숙약국,양천구,목동,1.0,126.86128768881697,37.524985863923895
햇살애약국,양천구,목동,1.0,126.87097751001565,37.546365241348894
한성약국,양천구,목동,1.0,126.86105755028632,37.526380830855956
메디팜금빛약국,양천구,목동동,1.0,126.87586965637318,37.53560513030677
창대온누리약국,양천구,목동,1.0,126.86227250891521,37.5485850788348
목동벧엘약국,양천구,목동동,1.0,126.88192616041738,37.534642436763214
해든이화약국,양천구,목동동,1.0,126.88198708508514,37.53740378522701
오이 한약국,양천구,목동,1.0,126.8637877172981,37.53939452182739
드림온누리약국,양천구,목동,1.0,126.86644234363142,37.54190951454939
동의림생약국,양천구,목동,1.0,126.87307985654695,37.53162559283777
하늘사랑약국,양천구,목동동,1.0,126.8729229664223,37.52817675191504
매일여는약국,양천구,목동동,1.0,126.86875281305143,37.52746497127573
목동행복한약국,양천구,목동동,1.0,126.87319365653178,37.529373431839375
팜빌편안약국,양천구,목동,1.0,126.8661545124656,37.53969010324302
조은약국,양천구,목동,1.0,126.86165896535778,37.508257298632635
황제한약국,양천구,목동,1.0,126.86593360003229,37.541286639794386
365열린약국,양천구,목동,1.0,126.86150131371781,37.54838431132062
약초원한약국,양천구,목동,1.0,126.86393917490064,37.5484866073409
홍익후문약국,양천구,목동,1.0,126.86170149445863,37.53203973700618
드림약국,양천구,목동,1.0,126.86635018454287,37.52460553252869
지은당한약국,양천구,목동동,1.0,126.8675544247165,37.5216248455773
41약국,양천구,목동동,1.0,126.8729229664223,37.52817675191504
행복한온누리약국,양천구,목동동,1.0,126.86862318914861,37.516877863247714
목동건강약국,양천구,목동,1.0,126.86036207304244,37.52865587706546
단비약국,양천구,목동동,1.0,126.86844298136852,37.51890713975085
정문약국,양천구,목동,1.0,126.86458559786519,37.53656518158529
바로약국,양천구,목동동,1.0,126.86862318914861,37.516877863247714
목동파라곤약국,양천구,목동,1.0,126.87227335987752,37.52950421740183
타워4층약국,양천구,목동동,1.0,126.8729229664223,37.52817675191504
목동그린약국,양천구,목동,1.0,126.87628097776036,37.536305262234215
세양메디신약국,양천구,목동,1.0,126.86165896535778,37.508257298632635
믿음약국,양천구,목동,1.0,126.86127659639851,37.549732724923516
스마트약국,양천구,목동동,1.0,126.86763334575203,37.518964016339766
가온온누리약국,양천구,목동동,1.0,126.8729229664223,37.52817675191504
나나약국,양천구,목동,1.0,126.85861624876131,37.5159128723131
메디팜장약국,양천구,목동,1.0,126.86319720692181,37.508839168371665
경남약국,양천구,목동,1.0,126.87644914400714,37.5396035255317
박약국,양천구,목동,1.0,126.86180417132742,37.54838243522122
한솔약국,양천구,목동동,1.0,126.859427797585,37.51530888608179
보람약국,양천구,목동,1.0,126.8676495397387,37.54441170686925
가까운온누리약국,양천구,목동,1.0,126.86260756517449,37.51749419554621
새봄약국,양천구,목동,1.0,126.86779786826425,37.54658809733543
일등약국,양천구,목동,1.0,126.86327204311337,37.548469089541186
목동4층약국,양천구,목동,1.0,126.86091463059854,37.526729069207
공항시장샘온누리약국,강서구,방화동,1.0,126.80791861634508,37.564193024685906
국제약국,강서구,방화동,1.0,126.80867492465457,37.56406469096621
에스메디약국,강서구,방화동,1.0,126.81012885430731,37.56859849843277
온누리성원약국,강서구,방화동,1.0,126.80978165071024,37.571557333879056
종로약국,강서구,방화동,1.0,126.80900536532201,37.572759549647614
공항약국,강서구,방화동,1.0,126.80613962145227,37.56223600383841
수약국,강서구,방화동,1.0,126.81014580073094,37.569453354362636
조광약국,강서구,방화동,1.0,126.80831822789847,37.564728405336766
세븐약국,강서구,마곡동,1.0,126.83027970188543,37.560620797365175
보건당약국,구로구,구로동,1.0,126.88747327392214,37.48987224615995
남구로약국,구로구,구로동,1.0,126.8831472927646,37.48456738915256
비타민약국,구로구,구로동,1.0,126.88131182386965,37.48880047023517
항동푸른약국,구로구,항동,1.0,126.8214627154392,37.48078685181853
구로참조은약국,구로구,구로동,1.0,126.8831266003229,37.48578727944176
서울약국,구로구,구로동,1.0,126.88153358016707,37.49018470632409
올리브약국,구로구,구로동,1.0,126.88045518017357,37.49234708533203
녹십자약국,구로구,구로동,1.0,126.88141138894335,37.49068133397919
우산약국,구로구,구로동,1.0,126.8818996017691,37.48866967127639
하나약국,구로구,구로동,1.0,126.87964329055872,37.494454519799206
온누리사랑의약국,구로구,구로동,1.0,126.88088391744421,37.487733835211415
오공오약국,구로구,구로동,1.0,126.88136859565506,37.49820678685275
온누리십자당약국,구로구,구로동,1.0,126.88000940627012,37.493922059518844
구로시장약국,구로구,구로동,1.0,126.88333190034683,37.49029236466997
나은약국,구로구,구로동,1.0,126.88635453333102,37.49198635273859
샘물약국,구로구,구로동,1.0,126.88192288003962,37.48879945763271
한독프라자약국,구로구,구로동,1.0,126.8883817000817,37.48976499091479
초지약국,구로구,구로동,1.0,126.87979027473489,37.5000239945974
그린프라자약국,구로구,구로동,1.0,126.88078842180792,37.490870285563005
대학약국,구로구,구로동,1.0,126.88060885408652,37.491983356403296
미문약국,구로구,구로동,1.0,126.88265720444917,37.48552499255972
구로약국,구로구,구로동,1.0,126.88045952916832,37.49174648197688
한중약국,구로구,구로동,1.0,126.8844420976685,37.48244119629778
큰사랑약국,구로구,구로동,1.0,126.8876963138649,37.49010017203996
기린약국,구로구,구로동,1.0,126.87934445336975,37.49784748861002
미래약국,구로구,구로동,1.0,126.88058329262071,37.49155612929603
일등약국,구로구,구로동,1.0,126.88066530511833,37.49189055064738
정문약국,구로구,구로동,1.0,126.88066530511833,37.49189055064738
동해물약국,구로구,구로동,1.0,126.8814346852136,37.49083367314958
1번약국,구로구,구로동,1.0,126.8814664451733,37.490420324945866
팜어스약국,구로구,구로동,1.0,126.88184750849263,37.4903131512682
써니약국,영등포구,선유동,1.0,126.89595480352692,37.53487417065912
봄내약국,관악구,신림동,1.0,126.92474950683777,37.48588907014422
청담별빛약국,강남구,학동,1.0,127.04648046131298,37.51896516043131
연세팜약국,강남구,학동,1.0,127.0204451984369,37.50990743319858
청담엘약국,강남구,학동,1.0,127.05450496278057,37.52130259222516
365논현역약국,강남구,학동,1.0,127.0288842366505,37.51430028943684
학동역약국,강남구,학동,1.0,127.0288842366505,37.51430028943684
르씨엘약국,강남구,학동,1.0,127.02970878580311,37.51487585496376
은온누리약국,강남구,학동,1.0,127.03044243638692,37.51445281102235
르셀약국,강남구,학동,1.0,127.02256458828414,37.50977599026914
강남정인한약국,강남구,학동,1.0,127.02896072131814,37.51396331873194
학동약국,강남구,학동,1.0,127.02828779392433,37.51444191965208
청담약국,강남구,학동,1.0,127.04789481780232,37.51920051590268
개포이화약국,강남구,영동,1.0,127.07223015368936,37.49093402761305
