구분,2015년,2025년,CCTV_10년_증가율,raw_score_cctv_growth
종로구,935.0,2885.0,208.53,208.53
중구,363.0,2861.0,687.96,687.96
용산구,1398.0,3357.0,140.12,140.12
성동구,1089.0,4226.0,288.04,288.04
광진구,638.0,4590.0,619.34,619.34
동대문구,1202.0,4001.0,232.84,232.84
중랑구,751.0,5161.0,587.14,587.14
성북구,1035.0,4994.0,382.48,382.48
강북구,608.0,4434.0,629.17,629.17
도봉구,345.0,2917.0,745.29,745.29
노원구,956.0,3843.0,301.96,301.96
은평구,1719.0,5220.0,203.65,203.65
서대문구,952.0,3658.0,284.21,284.21
마포구,623.0,3851.0,518.05,518.05
양천구,1898.0,4656.0,145.3,145.3
강서구,801.0,4444.0,454.75,454.75
구로구,1407.0,5070.0,260.32,260.32
금천구,990.0,3672.0,270.88,270.88
영등포구,904.0,4799.0,430.82,430.82
동작구,961.0,3645.0,279.26,279.26
관악구,1496.0,6163.0,311.94,311.94
서초구,1548.0,4121.0,166.2,166.2
강남구,2319.0,7364.0,217.54,217.54
송파구,713.0,4269.0,498.67,498.67
강동구,670.0,4746.0,608.27,608.27
