자치구명,adstrd_code_se,tot_lvpop_co,2025년,raw_score_police_per_pop
종로구,11110,274742.7659195241,1061,0.0038617941274959036
중구,11140,263553.1021396858,945,0.0035856151657025093
용산구,11170,272364.8750315346,790,0.0029005208542714376
성동구,11200,335217.0307624203,602,0.0017958514775660603
광진구,11215,355790.35707009333,732,0.0020573913414291623
동대문구,11230,339887.55651632516,794,0.0023360666925794425
중랑구,11260,334044.00014181464,737,0.0022062961756149336
성북구,11290,409791.93605178734,855,0.0020864246579316527
강북구,11305,268130.5560957309,652,0.002431651242938592
도봉구,11320,256829.27763232013,558,0.0021726494936408283
노원구,11350,469466.7873471084,790,0.0016827601468128986
은평구,11380,418424.49985214026,892,0.002131806336185401
서대문구,11410,354135.4837731671,633,0.0017874514952742006
마포구,11440,438844.3728109859,917,0.0020895790325992395
양천구,11470,362565.40855571494,732,0.002018946051461262
강서구,11500,533202.5326519354,955,0.0017910642607982625
구로구,11530,383515.11270785524,741,0.0019321272498704918
금천구,11545,215648.45732510244,572,0.002652465067893702
영등포구,11560,474199.6537455487,1000,0.00210881638588583
동작구,11590,368069.6264727004,644,0.0017496689584837702
관악구,11620,450494.10909157555,900,0.0019978063682449835
서초구,11650,563793.2878906192,1127,0.0019989595906978017
강남구,11680,822750.7023793829,1617,0.0019653583951051755
송파구,11710,732501.8084614526,1074,0.0014662079841902787
강동구,11740,502352.63910605654,745,0.0014830219690409865
