자치구명,불투수면적률,raw_score_impervious
종로구,41.327134,41.327134
중구,76.417284,76.417284
용산구,47.661169,47.661169
성동구,62.970386,62.970386
광진구,62.838864,62.838864
동대문구,76.82187,76.82187
중랑구,61.538176,61.538176
성북구,53.929717,53.929717
강북구,37.915398,37.915398
도봉구,43.05083,43.05083
노원구,39.155975,39.155975
은평구,43.656738,43.656738
서대문구,58.131775,58.131775
마포구,57.197599,57.197599
양천구,70.27301,70.27301
강서구,50.838109,50.838109
구로구,64.301245,64.301245
금천구,66.722406,66.722406
영등포구,61.042983,61.042983
동작구,62.955888,62.955888
관악구,42.249061,42.249061
서초구,38.403024,38.403024
강남구,57.71755,57.71755
송파구,61.961758,61.961758
강동구,56.405775,56.405775
