시설물명,상세주소,배수장_최대배수량,lat,lon,raw_score_pump
개봉1,서울시 구로구 개봉동 189,688.8,37.488256196354996,126.85895404448529,688.8
개봉2,서울시 구로구 고척동 66-1,93.5,37.50489524233001,126.84793536037495,93.5
경서펌프장,인천광역시 서구 오류동,714.0,37.56543566133431,126.60233482341926,714.0
고덕,고덕동 108,264.8,37.05154537052985,127.04869443763823,264.8
고덕빗물펌프장,서울시 강동구 강일동,99.0,37.5663233345739,127.17193116015045,99.0
공릉,서울시 노원구 공릉1동 687-8,9.9,37.62919263844138,127.07618987849274,9.9
구로1 빗물펌프장,서울시 구로구 구로5동 1-4,53.6,37.492837180917014,126.88044642529336,53.6
구로2 빗물펌프장,서울시 구로구 구로4동 120-5,65.69999999999999,37.48935025488291,126.886766650625,65.69999999999999
답십리4(간이),서울시 동대문구 답십리동 4-304,2.8,37.573351740763854,127.05048384741659,2.8
대림2동 빗물펌프장,서울시 영등포구 대림2동 995-5,16.799999999999997,37.50714675957822,126.8943239808888,16.799999999999997
도림2펌프장,서울시 영등포구 도림동 254,58.2,37.506151558205445,126.89955956966844,58.2
뚝섬,서울시 성동구 성수1가2동 685,2870.0,37.545401237466635,127.06532360687092,2870.0
면목,서울시 중랑구 면목동168-2,27.7,37.5865470658466,127.0818011185776,27.7
면목4,서울시 중랑구 면목동 727-421,400.0,37.5865470658466,127.0818011185776,400.0
몽촌1,신천동 21,105.0,37.43042199551492,126.7902780934848,105.0
문래 빗물펌프장,서울시 영등포구 문래동5가 32,95.6,37.514537438267325,126.88696430133432,95.6
백석펌프장,인천광역시 서구 백석동,240.0,37.57880027080485,126.6461256741196,240.0
사근,서울시 성동구 사근동 198-5,24.6,37.55995978610412,127.04916453536929,24.6
새말,서울시 성동구 송정동 93,1004.0,37.55320544951884,127.06763048324503,1004.0
석관,서울시 성북구 석관1동 134-2,8.1,37.60668176496462,127.05979573041802,8.1
송정,서울시 성동구 송정동 81-5,1160.0,37.54994575933945,127.06805530858071,1160.0
수도권매립지펌프장,인천광역시 서구 오류동,72.0,37.56543566133431,126.60233482341926,72.0
시흥,서울시 금천구 시흥동 555-3,23.5,37.45541652456396,126.90805272987166,23.5
신답,서울시 성동구 용답동 173-1,20.0,37.55882867310751,127.06837698070085,20.0
신림 빗물펌프장,서울시 관악구 신림8동 1649-1,50.099999999999994,37.48869091853216,126.92240081590987,50.099999999999994
신이문 (간이),서울시 동대문구 이문동 189-1,525.0,37.60318420207357,127.06164228470325,525.0
신이문2,서울시 동대문구 이문동 94-2,810.0,37.59794406585832,127.06144038838927,810.0
신천,신천동 14,47.6,37.43139943528944,126.78631578170527,47.6
양재,양재1동 99-5,35.099999999999994,37.476319866882264,127.03972173396093,35.099999999999994
용두,서울시 동대문구 용두동 129-274,8.4,37.57531635970656,127.04047414560782,8.4
용두2,서울시 동대문구 용두동 102,1.1,37.57329060576412,127.03094915206316,1.1
응봉,서울시 성동구 응봉동 210-3,2870.0,37.5528019787999,127.03034013293868,2870.0
이문3 (간이),서울시 동대문구 이문동 240-5,39.0,37.59794406585832,127.06144038838927,39.0
장안1 (구장안4),서울시 동대문구 장안1동 379,690.0,37.56261130981363,127.06465337424397,690.0
장안2,서울시 동대문구 장안동 356,120.0,37.57271472358207,127.07400730989512,120.0
장위,서울시 성북구 장위동 157-1,5.6,37.61508492664386,127.05165905691251,5.6
"전농1,2",서울시 성동구 송정동 78-1,3395.0,37.54994575933945,127.06805530858071,3395.0
제기1,서울시 동대문구 제기동 268-47,6.7,37.58569278046308,127.03929464070654,6.7
중곡,서울시 광진구 중곡동 250-1,2330.0,37.56161167332737,127.08311159509822,2330.0
중화,서울시 중랑구 중화동 404-4,1320.0,37.598857780892686,127.07917222005798,1320.0
청계,서울시 성동구 송정동 73-74,0.0,37.54994575933945,127.06805530858071,0.0
풍납,풍남동 387,35.8,36.62929523511928,127.26810111009749,35.8
휘경,서울시 동대문구 휘경동 348,2360.0,37.58655084979049,127.05595470959364,2360.0
휘경1 (구신이문3),서울시 동대문구 휘경1동 119,668.0,37.59162806432164,127.06301704387828,668.0
